a cappella,Auditory,4.333
aardvark,Visual,4.125
abacus,Visual,3.944
abandonee,Visual,3.938
abbreviation,Visual,3.947
abdomen,Visual,3.647
abdominal,Visual,3.8
abdominally,Interoceptive,2.059
abduction,Visual,4
abhor,Interoceptive,2.087
abhorrence,Interoceptive,2.75
abhorrently,Interoceptive,2.733
abhorring,Interoceptive,3.2
abiding,Interoceptive,1.467
ability,Interoceptive,2.556
ablaze,Visual,3.706
able,Interoceptive,3.067
abode,Visual,3.6
abominableness,Visual,3.727
aboriginal,Visual,3.824
abortion,Interoceptive,2.471
aboveground,Visual,4.4
abrasion,Haptic,3.294
abrasive,Haptic,4.267
abrasively,Haptic,3.118
abrasiveness,Haptic,3.65
abrupt,Auditory,2.368
abruptly,Visual,3.882
abruptness,Auditory,3.278
abscess,Visual,4
abscessed,Visual,3.882
absentmindedly,Interoceptive,1.75
absentmindedness,Interoceptive,2.235
absinthe,Gustatory,4.231
absolutist,Auditory,2.692
abstain,Interoceptive,2.125
abstinence,Interoceptive,2.105
abstinent,Interoceptive,1.895
abstractionism,Visual,4
absurd,Auditory,3.562
absurdly,Auditory,2.556
abundance,Visual,4.353
abundant,Visual,3.786
abuse,Visual,4.2
abuser,Haptic,3.5
abyss,Visual,3.867
academy,Visual,3.611
acceleration,Visual,3.882
accent,Auditory,4.053
accentuate,Auditory,2.929
acceptability,Interoceptive,1.944
acceptance,Auditory,2.941
accepted,Interoceptive,3
accessorize,Visual,3.722
accessory,Visual,4.176
accident,Visual,4.375
acclaimer,Auditory,3.636
acclimate,Interoceptive,2.412
acclimation,Interoceptive,2.125
acclimatization,Interoceptive,2.267
acclimatize,Interoceptive,2.083
accolade,Auditory,3.286
accomplish,Interoceptive,2.333
according,Auditory,2.5
accordion,Auditory,4.632
accordionist,Auditory,3.333
accountant,Visual,3.944
accumulate,Visual,3.733
accuracy,Visual,4.222
accusable,Auditory,2.316
accusation,Auditory,4.188
accusative,Auditory,2.882
accusatively,Auditory,3.278
accusatorial,Auditory,3.231
accusatory,Auditory,3.059
accuse,Auditory,3.647
accused,Auditory,3.647
accuser,Auditory,3.562
accusingly,Auditory,3.333
accustomed,Interoceptive,2.056
acetaminophen,Interoceptive,3.438
acetone,Olfactory,3.118
acetylene,Olfactory,1.909
ache,Interoceptive,4.375
achieve,Interoceptive,2.588
achievement,Visual,3.647
achiness,Interoceptive,4.667
aching,Interoceptive,4.212
achingly,Interoceptive,3.9
achy,Interoceptive,4.263
acidic,Gustatory,3.444
acidity,Gustatory,3.143
acknowledge,Auditory,2.875
acknowledgeable,Auditory,2.4
acknowledged,Auditory,2.743
acne,Visual,3.824
acorn,Visual,3.933
acoustic,Auditory,3.824
acoustical,Auditory,3.882
acoustically,Auditory,4.533
acoustics,Auditory,3.812
acquaintance,Visual,4.25
acquit,Auditory,2.8
acrid,Olfactory,3.417
acrimoniously,Auditory,2.875
acrobat,Visual,4.167
acrobatics,Visual,3.778
acrophobia,Interoceptive,3.75
across,Visual,3.696
acting,Visual,4
action,Visual,4.062
active,Visual,3.722
activity,Visual,3.824
actor,Visual,4.647
actress,Visual,3.95
acupressure,Haptic,2.889
acupuncture,Haptic,4.238
ad,Visual,4.222
adage,Auditory,3.769
adamant,Auditory,3.6
adamantly,Auditory,2.667
adaptor,Visual,3.688
addicted,Interoceptive,3.5
addiction,Interoceptive,3.625
addictive,Interoceptive,3.579
addictiveness,Interoceptive,3.833
address,Visual,3.941
addressbook,Visual,4
addresser,Auditory,3.133
addressor,Auditory,2.5
adequateness,Interoceptive,1.786
adherence,Visual,3.733
adhesive,Haptic,3.722
adhesively,Haptic,2.909
adhesiveness,Haptic,3.375
adjacent,Visual,4.222
adjoined,Visual,3.889
adjournment,Auditory,3.25
adjudicate,Auditory,2.769
adjudication,Auditory,2.5
adjustable,Visual,3.947
administer,Visual,3.667
admiral,Visual,3.647
admiration,Interoceptive,3
admired,Interoceptive,2.889
admissible,Auditory,2.421
admit,Auditory,2.95
admitted,Auditory,3.824
admittedly,Auditory,2.235
admitter,Auditory,3.222
admonishingly,Auditory,3
admonishment,Auditory,3.133
adopted,Auditory,2.158
adorable,Visual,3.944
adorableness,Visual,4.158
adorably,Visual,3.882
adore,Interoceptive,3.235
adoringly,Interoceptive,2.889
adorn,Visual,3.632
adornment,Visual,4.15
adrenal,Interoceptive,3.6
adrenalin,Interoceptive,4.533
adrenaline,Interoceptive,4.571
adultlike,Visual,4.062
advance,Visual,3.812
adventurer,Visual,3.676
adverb,Auditory,3.353
adversity,Interoceptive,3.128
advert,Visual,3.786
advertise,Visual,4.211
advertisement,Visual,4.625
advertiser,Visual,3.947
advertising,Visual,4.438
advertize,Visual,4
advice,Auditory,4.294
advisability,Auditory,3
advisable,Auditory,2.6
advisably,Auditory,2.2
advise,Auditory,3.176
advised,Auditory,3.952
advisedly,Auditory,2.278
advisement,Auditory,3.857
adviser,Auditory,4.6
advisor,Visual,3.9
advisory,Auditory,3.111
advocacy,Auditory,2.833
advocate,Auditory,3.375
advocator,Auditory,3.258
aerial,Visual,4.529
aerobics,Visual,4.059
aerodynamic,Visual,3.789
aeronautic,Visual,3.933
aerosol can,Visual,4.158
aesthetic,Visual,4.278
aesthetically,Visual,4.118
aestheticism,Visual,3.593
aesthetics,Visual,4.353
afar,Visual,4.143
affectation,Interoceptive,2.5
affected,Interoceptive,3.2
affectedness,Interoceptive,2.733
affecting,Interoceptive,2.562
affection,Interoceptive,3.686
affectionate,Visual,3.684
affirmable,Auditory,3.083
affirmation,Auditory,3.7
affirmer,Auditory,3.211
affix,Haptic,2.857
affront,Auditory,2.818
afghan,Visual,3.688
aflame,Visual,3.765
aflutter,Interoceptive,3.923
aforementioned,Auditory,2.438
afraid,Interoceptive,4.357
afro,Visual,4.412
afterlife,Interoceptive,1.579
aftershave,Olfactory,3.778
aftershock,Interoceptive,2.947
aftertaste,Gustatory,4.353
afterworld,Interoceptive,1.706
age,Visual,3.812
aged,Visual,3.714
agent,Visual,3.647
aggravated,Interoceptive,3.556
aggravating,Interoceptive,3.118
aggravatingly,Auditory,2.688
aggravation,Interoceptive,3.389
aggression,Visual,3.9
aggressive,Interoceptive,3.278
aggressiveness,Visual,3.611
aggrieve,Interoceptive,2
aggrieved,Interoceptive,2.909
aggrievedly,Interoceptive,2.083
aghast,Interoceptive,2.722
aging,Visual,3.8
agitate,Auditory,2.625
agitated,Interoceptive,3.579
agitatedly,Interoceptive,3.765
agitation,Interoceptive,4.211
agitator,Auditory,3.067
aglow,Visual,4.375
agnostic,Auditory,2.412
agnosticism,Interoceptive,2
agonize,Interoceptive,3.947
agonizing,Interoceptive,3.053
agonizingly,Interoceptive,3.059
agony,Interoceptive,3.579
